xlinkID	xlink_1	xlink_2	xlink_3
96	814	12095	28372
97	97	39828	0
98	6022	22812	42803
99	25125	27158	76402
100	1757	27768	51739
101	18554	26915	71647
102	4475	49269	77421
103	55528	61268	0
104	70453	71593	78176
105	5965	38569	58793
106	25900	49911	77227
107	49100	61260	0
108	31650	49792	61558
109	109	63835	0
110	110	17020	0
111	30936	66035	75938
112	50960	64948	79370
113	22739	69479	70874
114	37588	58021	58599
115	17372	51696	65106
116	9581	28529	72421
117	5664	40661	76510
118	17199	21605	52636
119	7756	21521	54908
120	35653	41176	42313
121	9857	34008	75190
122	6880	9964	39211
123	50148	56551	70856
124	12426	0	0
125	9398	73700	75909
126	10591	11991	28152
127	127	17318	0
128	21046	50386	53574
129	21416	44463	45265
130	33575	41904	0
131	1662	39817	80057
132	2723	63201	0
133	3417	35604	56957
134	23002	45376	64974
135	13692	77377	79058
136	136	78504	0
137	58737	73701	80184
138	138	7411	0
139	33053	50028	0
140	17982	35574	0
141	20023	32198	70815
142	4302	32955	79378
143	32889	62126	79003
144	21635	22519	46984
145	3925	30884	55419
146	23547	32831	66144
147	29540	77738	0
148	33553	59137	67509
149	36898	50767	52218
150	150	73451	0
151	32258	62134	80371
152	25024	55276	80329
153	24690	38227	73047
154	18717	25358	72940
155	5314	27986	64567
156	14531	35026	41493
157	33907	43553	55810
158	5608	15081	72524
159	22291	39460	78764
160	19727	42273	46700
161	34750	49632	79784
162	10716	32613	42300
163	4827	23833	33433
164	164	49951	0
165	12351	27201	77294
166	7602	26490	39488
167	50691	71097	75389
168	7370	9971	15862
169	169	44066	0
170	25173	31208	37311
171	24285	79403	0
172	11638	25255	64394
173	18683	41428	68519
174	44031	75235	76803
175	35593	60859	65234
176	54685	61648	78969
177	42421	58052	74813
178	20532	42308	79998
179	69837	78434	0
180	17644	29345	73070
181	2470	24176	46750
182	182	11728	0
183	1942	5797	36513
184	21208	47866	49791
185	185	71092	0
186	186	70434	0
187	27766	56486	60999
188	11226	25294	55742
189	8389	9712	67399
190	695	73691	78406
191	14292	67898	72080
192	25692	51089	0
193	193	77341	0
194	36547	67850	72346
195	211	40511	78436
196	21396	25279	68894
197	64188	73402	77800
198	28540	30809	72559
199	31980	76180	0
200	32834	57686	74134
201	18105	67549	69089
202	8402	22820	53319
203	56759	62418	70575
204	30760	48463	76315
205	57918	65528	71867
206	1209	61747	73481
207	347	39038	41281
208	23973	49352	52417
209	12341	29896	38513
210	39791	41049	64281
211	195	25608	38742
212	16407	30062	56022
213	17536	27915	0
214	15384	24244	57709
215	7593	52125	66051
216	9031	35388	52789
217	11057	33650	51267
218	26089	40874	57436
219	80309	0	0
220	18488	21830	41213
221	675	14426	78192
222	6461	61418	74710
223	14206	63790	73130
224	20526	64179	78125
225	43488	64606	75286
226	17930	25649	66028
227	4463	77114	77855
228	10223	32302	63593
229	4532	53850	55406
230	23149	49838	53721
231	20996	46906	53216
232	36626	46609	62877
233	30496	64474	79952
234	11937	14503	43558
235	40654	42998	50663
236	12186	48165	73552
237	13479	18597	58007
238	35813	37172	75223
239	28595	37623	61800
240	240	57043	0
241	3783	26719	59275
242	57855	62906	70631
243	18815	61578	0
244	244	8358	0
245	14180	33389	61817
246	322	60937	70943
247	30115	44689	64026
248	7445	48038	52895
249	249	59201	0
250	12824	28798	32391
251	47085	0	0
252	252	8180	0
253	36531	40961	59420
254	25016	51945	67505
255	4160	64920	0
256	15508	51816	67780
257	4620	19050	59660
258	915	17096	0
259	37835	38219	71872
260	71576	72673	75482
261	7356	50499	58122
262	15796	25596	51907
263	14869	68378	71344
264	1155	1441	32425
265	43658	69732	76665
266	40801	41709	62673
267	49427	76481	0
268	27943	53646	60910
269	3714	62839	66054
270	17709	21939	40072
271	31590	51994	0
272	23155	64356	0
273	4996	6674	72841
274	42413	63389	80318
275	16243	38282	41457
276	582	35473	71063
277	14798	36245	47597
278	22167	52399	58938
279	8300	29525	30183
280	16342	56165	65236
281	31751	79163	0
282	282	4247	0
283	4731	17951	55735
284	284	29602	0
285	19885	30546	44894
286	286	63713	0
287	13106	52933	66283
288	5008	46373	0
289	1492	28814	78091
290	4063	10089	28507
291	61278	67285	74300
292	292	32896	0
293	29224	43108	78225
294	16520	23599	54911
295	51041	70021	76235
296	4699	55915	58123
297	297	20613	0
298	685	10966	56279
299	2658	45880	59914
300	6527	18736	32240
301	40583	74140	75873
302	9784	16077	47561
303	19422	51112	0
304	29588	50968	56211
305	35241	44641	50371
306	11969	51470	60631
307	307	48415	0
308	19545	32391	35216
309	18181	48523	68081
310	62707	63180	70171
311	22070	34156	52247
312	1223	4846	45308
313	49635	0	0
314	15882	39211	72265
315	8970	68258	73220
316	3027	19208	46544
