xlinkID	xlink_1	xlink_2	xlink_3	xlink_4
498	9493	13290	15888	14942
6566	3859	13467	3859	13311
3859	6566	4974	7792	6566
9193	9095	5885	11600	5454
9095	9193	5127	608	12993
4600	15148	3477	14306	7300
15148	4600	6299	14396	14389
11639	5907	4911	3482	3945
5907	11639	13613	2029	590
2794	469	9972	3754	13785
3219	6228	5191	5873	9136
6228	3219	2591	528	12974
6535	13798	9714	3316	10402
13798	6535	11142	1369	6805
3316	14005	13351	6535	9709
14595	9479	511	9479	12799
9479	14595	14595	3024	11371
13801	4749	9181	8452	10295
4749	13801	15255	10289	10280
14448	3024	10740	2163	13199
3024	14448	10839	11233	9479
10537	10813	7696	12485	14101
10813	10537	7107	15328	9939
1592	13463	6992	8688	9845
13463	1592	8187	8208	9845
12613	14504	9638	8896	11847
14504	12613	5155	12145	8987
7107	10813	9594	14844	14366
5239	16101	5239	5239	8208
16101	5239	955	14887	4899
10066	12247	5769	1315	9709
12247	10066	9033	7397	0
8666	8205	14372	5273	3971
8205	8666	2621	8985	3459
9358	7670	11718	14865	0
7670	9358	2501	3645	12796
13851	14175	12539	9679	0
14175	13851	2411	1405	8463
12103	15333	2737	8608	12379
15333	12103	8946	11457	7187
7684	1520	6882	6810	4178
7625	5731	6444	10008	16
5731	7625	15769	7049	10906
904	5845	13942	4259	15584
5845	904	4259	12276	12055
590	9415	5907	6985	3596
9415	590	4720	0	0
15739	7894	4364	421	4570
7894	15739	8551	11710	6055
11916	10361	4231	11531	3934
10361	11916	7902	6459	2851
8404	13888	11809	10282	5430
13888	8404	13822	8988	6884
14398	12858	2968	6006	3774
2595	5308	3952	123	11769
5308	2595	2708	13756	3392
9248	5193	10786	14095	15293
7317	15429	554	6764	12692
15429	7317	11603	14291	6707
8289	9704	8549	3215	7895
9704	8289	9704	9704	13556
6868	14120	2548	13161	13288
14120	6868	3382	414	256
2923	7706	13041	13743	13743
7706	2923	44	12808	5802
9931	13464	14137	324	12051
13464	9931	13163	324	6358
4414	12588	4414	4414	2495
12588	4414	9221	11830	11554
6702	6358	16042	7186	10962
6358	6702	9393	9481	13464
15301	2602	12615	2858	13977
2602	15301	8396	12615	5087
10815	2190	5191	8296	5164
2190	10815	2190	2190	13494
14567	6805	15400	12495	10818
6805	14567	10175	4313	13798
8316	7548	8316	8316	10075
12943	8061	9935	5958	5880
8061	12943	11818	1208	15223
12254	3858	12522	658	2553
3858	12254	1694	1534	0
2319	9638	4474	14387	11497
9638	2319	6555	4474	12613
2107	1793	15798	9301	15196
1793	2107	3520	979	6011
11273	14246	12995	5347	5762
14246	11273	10022	8141	3490
9535	11647	5212	8149	4108
11647	9535	963	5833	5437
15884	6236	14194	3681	6000
6236	15884	7402	7902	9272
5331	2203	8149	11900	5251
2203	5331	12241	4063	3408
9272	2737	6100	5656	6236
2737	9272	12103	7693	15092
8606	4304	14898	4304	11666
4304	8606	5374	8606	2326
9699	5251	15289	13789	15275
5251	9699	674	9150	5331
