X Y Z
160.014865 66.472973 237.287309
140.099826 47.508392 226.346425
163.142082 112.731837 224.590961
159.293344 91.775431 232.280568
118.763941 128.212092 9.649234
146.684608 119.597630 19.735871
205.626970 113.085393 250.875959
192.010391 80.713439 2.204787
238.377658 70.813084 239.784364
242.058146 88.788016 235.838651
177.989567 84.610971 225.540223
201.109820 74.279651 1.835750
211.125980 74.066858 232.092432
188.850193 82.883405 8.575461
165.902770 103.628995 10.606774
202.616373 94.319126 232.774423
199.739034 95.851039 249.864605
211.616750 83.166412 11.139258
221.520151 88.169884 0.599425
17.747395 120.446380 245.822960
36.830888 129.241471 231.344627
222.427800 111.374288 244.276538
244.988442 84.385495 247.863101
12.775064 143.038324 224.933136
13.527960 123.199509 221.503274
237.328410 146.324844 23.711545
232.347293 144.029158 42.706683
31.764657 140.309036 241.852003
4.605615 131.562736 6.448043
62.558172 155.680684 19.864791
55.122984 166.061181 19.122791
229.581536 152.229481 235.543174
247.301001 128.267182 213.943541
93.460270 158.796919 246.270853
101.798269 145.017863 253.734005
55.870270 112.125914 231.575021
73.956282 123.895398 218.874535
69.695910 78.254461 240.665005
87.678656 89.693466 227.941168
30.549726 138.017921 237.404045
10.648316 143.298640 252.344608
55.477529 73.371875 224.696318
116.580415 146.664764 2.115953
87.167903 133.366945 221.768041
95.792080 103.797727 244.023616
128.733208 102.207683 247.416832
92.763710 115.781076 2.459955
75.872345 117.387446 255.764195
66.180142 105.150972 20.730825
67.502536 115.823640 14.912267
146.928090 96.730525 18.446727
152.519673 104.131777 0.456290
86.525361 93.167078 217.221463
96.985504 110.618532 200.997709
137.059600 83.280007 243.945878
155.296182 121.554925 15.493399
153.919252 100.382928 3.211936
140.266738 120.585522 39.347603
156.557153 79.695744 57.634066
137.253320 87.869787 38.122756
163.539151 102.737647 231.029814
157.592711 108.537691 233.365407
158.155966 117.482719 254.901128
177.441717 95.668229 240.251286
227.569311 137.432058 44.567354
221.652779 125.191440 248.351367
118.469384 87.827995 5.175209
107.263945 61.675492 248.736858
164.764104 122.315070 255.868681
145.352427 115.309531 253.857435
190.705745 131.577504 7.552245
197.137331 109.411456 250.644911
244.661206 133.087460 202.380274
230.287558 116.118801 219.928369
217.899611 122.265121 32.354947
221.374651 113.602348 18.888590
218.806952 104.683520 12.419216
222.896957 110.095700 238.180308
241.938036 116.591799 231.278978
214.470051 117.746895 244.101413
210.829560 125.878536 216.128403
51.555677 86.399424 251.978380
54.059941 65.814353 224.897434
251.825282 116.088876 16.931213
14.160656 93.153227 17.331358
246.940533 136.879508 228.179052
248.484743 141.125306 239.727835
15.666754 134.252473 26.125786
34.302420 136.550580 39.521254
51.740393 146.784510 19.950347
33.050329 108.494182 243.648817
9.436292 149.139768 225.982915
19.825944 134.529610 239.566986
75.767002 162.516930 24.296236
70.029537 129.957561 17.050493
58.443666 117.563520 31.442244
42.953160 119.695048 53.600829
81.519030 143.865477 49.520881
93.199175 150.229565 35.436821
104.265415 196.228026 19.005367
85.939204 200.815182 18.561246
82.280312 105.805218 221.467170
68.189912 110.784609 255.354877
106.123324 150.083739 234.046207
103.778987 134.553462 250.849927
104.264488 167.480711 236.087751
110.616775 142.046412 246.268794
