ID X Y Z
580 55.629792 74.968891 99.758566
581 54.668679 84.874207 99.453543
582 54.709814 84.417799 10.767905
583 55.151705 85.424996 21.695268
584 54.641616 85.159912 33.086948
585 54.728148 85.092042 44.801108
586 54.954257 84.307162 55.920105
587 54.352145 84.941513 67.264864
588 55.241975 84.669297 77.366682
589 55.605516 84.702233 88.875330
590 55.629792 84.968891 99.758566
591 54.668679 94.874206 99.453543
592 54.709814 94.417798 10.767905
593 55.151705 95.424995 21.695268
594 54.641616 95.159911 33.086947
595 54.728148 95.092041 44.801108
596 54.954257 94.307162 55.920105
597 54.352146 94.941513 67.264864
598 55.241975 94.669296 77.366682
599 55.605517 94.702233 88.875330
600 55.629792 94.968889 99.758566
601 64.668680 4.874205 99.453543
602 64.709815 4.417797 10.767904
603 65.151706 5.424994 21.695268
604 64.641617 5.159910 33.086947
605 64.728148 5.092040 44.801108
606 64.954258 4.307160 55.920105
607 64.352147 4.941512 67.264864
608 65.241976 4.669295 77.366682
609 65.605517 4.702231 88.875330
610 65.629793 4.968888 99.758566
611 64.668680 14.874204 99.453542
612 64.709815 14.417796 10.767904
613 65.151706 15.424993 21.695268
614 64.641617 15.159909 33.086947
615 64.728147 15.092039 44.801108
616 64.954258 14.307159 55.920105
617 64.352147 14.941511 67.264864
618 65.241976 14.669294 77.366682
619 65.605517 14.702230 88.875330
620 65.629793 14.968887 99.758566
621 64.668680 24.874203 99.453542
622 64.709815 24.417795 10.767904
623 65.151706 25.424993 21.695268
624 64.641618 25.159908 33.086947
625 64.728147 25.092038 44.801108
626 64.954258 24.307159 55.920105
627 64.352146 24.941511 67.264864
628 65.241976 24.669294 77.366682
629 65.605517 24.702230 88.875331
630 65.629793 24.968886 99.758566
631 64.668679 34.874204 99.453542
632 64.709815 34.417796 10.767904
633 65.151706 35.424993 21.695268
634 64.641618 35.159908 33.086948
635 64.728147 35.092038 44.801108
636 64.954258 34.307159 55.920105
637 64.352146 34.941511 67.264864
638 65.241976 34.669294 77.366682
639 65.605517 34.702230 88.875331
640 65.629793 34.968887 99.758566
641 64.668679 44.874204 99.453543
642 64.709815 44.417797 10.767904
643 65.151706 45.424994 21.695268
644 64.641618 45.159909 33.086948
645 64.728147 45.092039 44.801108
646 64.954259 44.307160 55.920105
647 64.352146 44.941512 67.264864
